ID,NAME
1,Aam Ka Panna
2,Aam Sandesh
3,Aamras
4,Aappam
5,Achari Chana Pulao
6,Adai Dosai
7,Adai Uttapam
8,Affogato
9,Afgani Chicken
10,Afghani Chicken Biryani
11,Afghani Murgh Tikka
12,Aglio Oglio Pasta
13,Ajmer Cake
14,Akki Roti
15,Al Faham Chicken
16,Alasande Vada
17,Alfredo Pasta
18,Allepy Chicken Curry
19,Almond
20,Aloo Bhaji
21,Aloo Bhature
22,Aloo Bhindi
23,Aloo Biryani
24,Aloo Bonda
25,Aloo Bun
26,Aloo Chaat
27,Aloo Chilli
28,Aloo Chop
29,Aloo Dum
30,Aloo Gobi
31,Aloo Gobi Paratha
32,Aloo Jeera
33,Aloo Manchurian
34,Aloo Masala
35,Aloo Masala Cheese Sandwich
36,Aloo Masala Sandwich
37,Aloo Mattar
38,Aloo Methi Paratha
39,Aloo Mutter Curry
40,Aloo Mutter Kulcha
41,Aloo Mutter Masala
42,Aloo Palak
43,Aloo Paratha
44,Aloo Patty Salad
45,Aloo Puri
46,Aloo Pyaz Paratha
47,Aloo Sabzi
48,Aloo Samosa
49,Aloo Sandwich
50,Aloo Tamatar
51,Aloo Tikki Chaat
52,Aloo Tikki Ragda Chaat
53,Aloo Tikki Sandwich
54,Ambuli Juice
55,Ambur Chicken Biryani
56,Ambur Egg Biryani
57,Ambur Mutton Biryani
58,Ambur Veg Biryani
59,American Chocomax
60,Americano
61,Amriti
62,Amritsar Chicken
63,Amritsari Fish Fry
64,Anchovy Fish Fry
65,Andhra Chilli Chicken
66,Andhra Kara Dosa
67,Andhra Special Chicken Biryani
68,Andhra Special Veg Biryani
69,Andhra Veg Biryani
70,Anjeer Milk Shake
71,Anjeer Peda
72,Appalam
73,Appam
74,Appe
75,Appe Lollypop
76,Appe Pizza
77,Appe Platter
78,Apple
79,Apple Cinnamon Tart
80,Apple Fruit Shake
81,Apple Juice
82,Apple Milk Shake
83,Apple Muffin
84,Apple Pie
85,Arabian Roll
86,Arabic Kabooli Rice
87,Arabic Kabuli
88,Arisi Paruppu Sadam
89,Assorted Bajji
90,Assorted Veg Paneer Sandwich
91,Atho Chicken
92,Atho Egg
93,Atho Egg Chicken
94,Avakaya Chicken Biryani
95,Avakaya Mutton Biryani
96,Avalaki Bhath
97,Avalakki Bath
98,Avial
99,Avocado Milkshake
100,Awadhi Chicken Biryani
101,Awadhi Veg Biryani
102,Azadi Non Veg
103,BBQ Chicken
104,BBQ Chicken Burger
105,BBQ Chicken Salad
106,BBQ Paneer
107,Baby Corn
108,Baby Corn 65 Biryani
109,Baby Corn Chilli
110,Baby Corn Fried Rice
111,Baby Corn Manchurian
112,Baby Corn Masala Dosa
113,Baby Corn Mushroom Masala Dosa
114,Baby Corn Pakoda
115,Baby Corn Paneer Biryani
116,Baby Corn Pepper Masala
117,Baby Corn Salad
118,Baby Corn Tikka
119,Babycorn Cheese Sandwich
120,Babycorn Dosa
121,Babycorn Manchurian
122,Babycorn Mushroom Biryani
123,Badam Milk
124,Badam Peda
125,Badam Pheni
126,Badam Shake
127,Badam Tea
128,Baigan Bharta
129,Baigan Bharwa
130,Baked Cheese Cake
131,Baked Chicken Au Gratin
132,Baked Chicken Eggplant Moussaka
133,Baked Eggplant Moussaka
134,Balushahi
135,Banana
136,Banana Bajji
137,Banana Bonda
138,Banana Cake Slice
139,Banana Caramel Cake
140,Banana Cashew Cake
141,Banana Chocolate Cake
142,Banana Chocolate Cake Shake
143,Banana Fry
144,Banana Honey Milk Shake
145,Banana Lassi
146,Banana Milkshake
147,Banana Pancakes
148,Banana Rasayana
149,Banga Chicken
150,Banga Egg
151,Barfi
152,Barracuda Fish Fry
153,Basbousa
154,Basil Pesto Pasta
155,Basmati Rice
156,Basundi
157,Batani Curry
158,Bbq Chicken
159,Bbq Fries
160,Bbq Paneer
